customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1066-jksgk,male,0,No,No,1,Yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,No,mailed check,20.15,20.15,Yes
3638-weabw,female,0,Yes,No,58,Yes,yes,dsl,no,yes,no,yes,no,no,two year,Yes,credit card (automatic),59.9,3505.1,No
6322-hrpfa,male,0,Yes,Yes,49,Yes,no,dsl,yes,yes,no,yes,no,no,month-to-month,No,credit card (automatic),59.6,2970.3,No
6865-jznko,female,0,No,No,30,Yes,no,dsl,yes,yes,no,no,no,no,month-to-month,Yes,bank transfer (automatic),55.3,1530.6,No
6467-chfzw,male,0,Yes,Yes,47,Yes,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,Yes,electronic check,99.35,4749.15,Yes
8665-utdhz,male,0,Yes,Yes,1,No,no phone service,dsl,no,yes,no,no,no,no,month-to-month,No,electronic check,30.2,30.2,Yes
5248-ygijn,male,0,Yes,No,72,Yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,Yes,credit card (automatic),90.25,6369.45,No
8773-hhuoz,female,0,No,Yes,17,Yes,no,dsl,no,no,no,no,yes,yes,month-to-month,Yes,mailed check,64.7,1093.1,Yes
3841-nfecx,female,1,Yes,No,71,Yes,yes,fiber optic,yes,yes,yes,yes,no,no,two year,Yes,credit card (automatic),96.35,6766.95,No
4929-xihvw,male,1,Yes,No,2,Yes,no,fiber optic,no,no,yes,no,yes,yes,month-to-month,Yes,credit card (automatic),95.5,181.65,No
6827-ieauq,female,0,Yes,Yes,27,Yes,no,dsl,yes,yes,yes,yes,no,no,one year,No,mailed check,66.15,1874.45,No
7310-egvhz,male,0,No,No,1,Yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,No,bank transfer (automatic),20.2,20.2,No
3413-bmnze,male,1,No,No,1,Yes,no,dsl,no,no,no,no,no,no,month-to-month,No,bank transfer (automatic),45.25,45.25,No
6234-raapl,female,0,Yes,Yes,72,Yes,yes,fiber optic,yes,yes,no,yes,yes,no,two year,No,bank transfer (automatic),99.9,7251.7,No
6047-yhpvi,male,0,No,No,5,Yes,no,fiber optic,no,no,no,no,no,no,month-to-month,Yes,electronic check,69.7,316.9,Yes
6572-adkrs,female,0,No,No,46,Yes,no,fiber optic,no,no,yes,no,no,no,month-to-month,Yes,credit card (automatic),74.8,3548.3,No
5380-wjkov,male,0,No,No,34,Yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,Yes,electronic check,106.35,3549.25,Yes
8168-uqwwf,female,0,No,No,11,Yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,Yes,bank transfer (automatic),97.85,1105.4,Yes
8865-tnmnx,male,0,Yes,Yes,10,Yes,no,dsl,no,yes,no,no,no,no,one year,No,mailed check,49.55,475.7,No
9489-dedvp,female,0,Yes,Yes,70,Yes,yes,dsl,yes,yes,no,no,yes,no,two year,Yes,credit card (automatic),69.2,4872.35,No
9867-jczsp,female,0,Yes,Yes,17,Yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,No,mailed check,20.75,418.25,No
4671-vjlcl,female,0,No,No,63,Yes,yes,dsl,yes,yes,yes,yes,yes,no,two year,Yes,credit card (automatic),79.85,4861.45,No
4080-iiard,female,0,Yes,No,13,Yes,yes,dsl,yes,yes,no,yes,yes,no,month-to-month,Yes,electronic check,76.2,981.45,No
3714-ntnfo,female,0,No,No,49,Yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,Yes,electronic check,84.5,3906.7,No
5948-ujzlf,male,0,No,No,2,Yes,no,dsl,no,yes,no,no,no,no,month-to-month,No,mailed check,49.25,97,No
7760-oypdy,female,0,No,No,2,Yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,Yes,electronic check,80.65,144.15,Yes
7639-liayi,male,0,No,No,52,Yes,yes,dsl,yes,no,no,yes,yes,yes,two year,Yes,credit card (automatic),79.75,4217.8,No
2954-pibko,female,0,Yes,Yes,69,Yes,yes,dsl,yes,no,yes,yes,no,no,two year,Yes,credit card (automatic),64.15,4254.1,No
8012-soudq,female,1,No,No,43,Yes,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,Yes,electronic check,90.25,3838.75,No
9420-lojkx,female,0,No,No,15,Yes,no,fiber optic,yes,yes,no,no,yes,yes,month-to-month,Yes,credit card (automatic),99.1,1426.4,Yes
6575-suvoi,female,1,Yes,No,25,Yes,yes,dsl,yes,no,no,yes,yes,no,month-to-month,Yes,credit card (automatic),69.5,1752.65,No
7495-ookfy,female,1,Yes,No,8,Yes,yes,fiber optic,no,yes,no,no,no,no,month-to-month,Yes,credit card (automatic),80.65,633.3,Yes
4667-qonea,female,1,Yes,Yes,60,Yes,no,dsl,yes,yes,yes,yes,no,yes,one year,Yes,credit card (automatic),74.85,4456.35,No
1658-bygoy,male,1,No,No,18,Yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,Yes,electronic check,95.45,1752.55,Yes
8769-kktph,female,0,Yes,Yes,63,Yes,yes,fiber optic,yes,no,no,no,yes,yes,one year,Yes,credit card (automatic),99.65,6311.2,No
5067-xjqfu,male,1,Yes,Yes,66,Yes,yes,fiber optic,no,yes,yes,yes,yes,yes,one year,Yes,electronic check,108.45,7076.35,No
3957-sqxml,female,0,Yes,Yes,34,Yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,No,credit card (automatic),24.95,894.3,No
5954-bdfsg,female,0,No,No,72,Yes,yes,fiber optic,no,no,yes,yes,yes,yes,two year,Yes,credit card (automatic),107.5,7853.7,No
0434-csfon,female,0,Yes,No,47,Yes,yes,fiber optic,no,no,yes,no,yes,yes,month-to-month,Yes,electronic check,100.5,4707.1,No
1215-figmp,male,0,No,No,60,Yes,yes,fiber optic,no,yes,no,no,yes,no,month-to-month,Yes,bank transfer (automatic),89.9,5450.7,No
0526-sxdjp,male,0,Yes,No,72,No,no phone service,dsl,yes,yes,yes,no,no,no,two year,No,bank transfer (automatic),42.1,2962,No
0557-askvu,female,0,Yes,Yes,18,Yes,no,dsl,no,no,yes,yes,no,no,one year,Yes,credit card (automatic),54.4,957.1,No
5698-bqjoh,female,0,No,No,9,Yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,No,electronic check,94.4,857.25,Yes
5122-cyfxa,female,0,No,No,3,Yes,no,dsl,no,yes,no,yes,yes,yes,month-to-month,Yes,electronic check,75.3,244.1,No
8627-zygsz,male,0,Yes,No,47,Yes,yes,fiber optic,no,yes,no,no,no,no,one year,Yes,electronic check,78.9,3650.35,No
3410-yoqbq,female,0,No,No,31,Yes,no,dsl,no,yes,yes,yes,yes,yes,two year,No,mailed check,79.2,2497.2,No
3170-nmyvv,female,0,Yes,Yes,50,Yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,No,bank transfer (automatic),20.15,930.9,No
7410-oiedu,male,0,No,No,10,Yes,no,fiber optic,yes,no,yes,no,no,no,month-to-month,Yes,mailed check,79.85,887.35,No
2273-qckxa,male,0,No,No,1,Yes,no,dsl,no,no,no,yes,no,no,month-to-month,No,mailed check,49.05,49.05,No
0731-ebjqb,female,0,Yes,Yes,52,Yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,Yes,electronic check,20.4,1090.65,No
1891-qrqsa,male,1,Yes,Yes,64,Yes,yes,fiber optic,yes,no,yes,yes,yes,yes,two year,Yes,bank transfer (automatic),111.6,7099,No
8028-pnxhq,male,0,Yes,Yes,62,Yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,Yes,bank transfer (automatic),24.25,1424.6,No
5630-ahzil,female,0,No,Yes,3,Yes,no,dsl,yes,no,no,yes,no,yes,month-to-month,Yes,bank transfer (automatic),64.5,177.4,No
2673-cxqeu,female,1,No,No,56,Yes,yes,fiber optic,yes,yes,yes,no,yes,yes,one year,No,electronic check,110.5,6139.5,No
6416-jnvrk,female,0,No,No,46,Yes,no,dsl,no,no,no,no,no,yes,one year,No,credit card (automatic),55.65,2688.85,No
5590-zskrv,female,0,Yes,Yes,8,Yes,no,dsl,yes,yes,no,no,no,no,month-to-month,No,mailed check,54.65,482.25,No
0191-zhskz,male,1,No,No,30,Yes,no,dsl,yes,yes,no,no,yes,yes,month-to-month,Yes,electronic check,74.75,2111.3,No
3887-pbqao,female,0,Yes,Yes,45,Yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,Yes,credit card (automatic),25.9,1216.6,No
5919-tmrgd,female,0,No,Yes,1,Yes,no,fiber optic,no,no,no,no,yes,no,month-to-month,Yes,electronic check,79.35,79.35,Yes
8108-uxrqn,female,0,Yes,Yes,11,No,no phone service,dsl,yes,no,no,no,yes,yes,month-to-month,No,electronic check,50.55,565.35,No
9191-myqkx,female,0,Yes,No,7,Yes,no,fiber optic,no,no,yes,no,no,no,month-to-month,Yes,bank transfer (automatic),75.15,496.9,Yes
9919-ylnng,female,0,No,No,42,Yes,no,fiber optic,no,yes,yes,yes,yes,yes,month-to-month,Yes,bank transfer (automatic),103.8,4327.5,No
0318-zopws,female,0,Yes,No,49,Yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,Yes,bank transfer (automatic),20.15,973.35,No
4445-zjnmu,male,0,No,No,9,Yes,yes,fiber optic,no,yes,no,no,yes,yes,month-to-month,Yes,credit card (automatic),99.3,918.75,No
4808-ynleu,female,0,Yes,No,35,Yes,no,dsl,yes,no,no,no,yes,no,one year,Yes,bank transfer (automatic),62.15,2215.45,No
1862-qrwpe,female,0,Yes,Yes,48,Yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,No,bank transfer (automatic),20.65,1057,No
2796-nnufi,female,0,Yes,Yes,46,Yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,Yes,mailed check,19.95,927.1,No
3016-ksvcp,male,0,Yes,No,29,No,no phone service,dsl,no,no,no,no,yes,no,month-to-month,No,mailed check,33.75,1009.25,No
4767-hzzhq,male,0,Yes,Yes,30,Yes,no,fiber optic,no,yes,yes,no,no,no,month-to-month,No,bank transfer (automatic),82.05,2570.2,No
2424-wvhpl,male,1,No,No,1,Yes,no,fiber optic,no,no,no,yes,no,no,month-to-month,No,electronic check,74.7,74.7,No
7233-pahhl,male,0,Yes,Yes,66,Yes,yes,dsl,yes,no,yes,yes,yes,yes,two year,Yes,mailed check,84,5714.25,No
6067-ngceu,female,0,No,No,65,Yes,yes,fiber optic,yes,yes,yes,no,yes,yes,month-to-month,Yes,credit card (automatic),111.05,7107,No
9848-jqjtx,male,0,No,No,72,Yes,yes,fiber optic,no,yes,yes,no,yes,yes,two year,Yes,bank transfer (automatic),100.9,7459.05,No
8637-xjivr,female,0,No,No,12,Yes,yes,fiber optic,yes,no,no,no,no,no,month-to-month,Yes,electronic check,78.95,927.35,Yes
9803-ftjcg,male,0,Yes,Yes,71,Yes,yes,dsl,yes,yes,no,yes,no,no,one year,Yes,credit card (automatic),66.85,4748.7,No
0278-yxoog,male,0,No,No,5,Yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,No,mailed check,21.05,113.85,Yes
3212-kxocr,male,0,No,No,52,Yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,No,bank transfer (automatic),21,1107.2,No
4598-xlknj,female,1,Yes,No,25,Yes,no,fiber optic,no,yes,yes,no,yes,yes,month-to-month,Yes,electronic check,98.5,2514.5,Yes
6380-arceh,male,0,No,No,1,Yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,No,mailed check,20.2,20.2,No
3679-xaspy,female,0,Yes,Yes,1,Yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,No,electronic check,19.45,19.45,No
7123-wquhx,male,0,No,No,38,Yes,yes,fiber optic,no,no,yes,yes,yes,no,one year,No,bank transfer (automatic),95,3605.6,No
5386-thslq,female,1,Yes,No,66,No,no phone service,dsl,no,yes,yes,no,yes,no,one year,No,bank transfer (automatic),45.55,3027.25,No
3192-nqeca,male,0,Yes,No,68,Yes,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,Yes,bank transfer (automatic),110,7611.85,Yes
6180-ybiqi,male,0,No,No,5,No,no phone service,dsl,no,no,no,no,no,no,month-to-month,No,mailed check,24.3,100.2,No
6728-dkuco,female,0,Yes,Yes,72,Yes,yes,fiber optic,yes,yes,no,no,yes,yes,one year,Yes,electronic check,104.15,7303.05,No
9750-boohv,female,0,No,No,32,No,no phone service,dsl,yes,no,no,no,no,no,one year,No,mailed check,30.15,927.65,No
8597-cwyhh,male,0,No,No,43,Yes,yes,fiber optic,no,no,no,no,yes,yes,one year,No,mailed check,94.35,3921.3,No
2848-yxsmw,male,0,Yes,Yes,72,Yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,No,credit card (automatic),19.4,1363.25,No
0486-heczi,male,0,Yes,No,55,Yes,yes,fiber optic,yes,yes,no,no,yes,no,month-to-month,Yes,electronic check,96.75,5238.9,Yes
4549-zdqyy,female,0,No,No,52,Yes,no,dsl,yes,no,yes,yes,no,no,one year,No,credit card (automatic),57.95,3042.25,No
5712-ahqnn,female,0,No,No,43,Yes,no,fiber optic,no,yes,yes,no,yes,no,month-to-month,Yes,electronic check,91.65,3954.1,No
4846-whafz,female,1,Yes,No,37,Yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,Yes,electronic check,76.5,2868.15,Yes
5256-skjgo,female,0,Yes,Yes,64,No,no phone service,dsl,no,yes,no,yes,yes,yes,two year,Yes,electronic check,54.6,3423.5,No
3071-vbypo,male,0,Yes,Yes,3,Yes,no,fiber optic,yes,yes,no,no,yes,no,month-to-month,No,electronic check,89.85,248.4,No
9560-bbzxk,female,0,No,No,36,No,no phone service,dsl,yes,no,no,no,no,no,two year,No,bank transfer (automatic),31.05,1126.35,No
5299-ruloa,female,0,Yes,Yes,10,Yes,yes,fiber optic,yes,no,no,no,yes,yes,month-to-month,Yes,electronic check,100.25,1064.65,Yes
8402-ooohj,female,0,No,No,41,Yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,No,mailed check,20.65,835.15,No
9445-zueqe,male,0,Yes,Yes,27,Yes,yes,fiber optic,no,yes,no,yes,no,no,month-to-month,Yes,credit card (automatic),85.2,2151.6,No
1091-sozga,female,0,Yes,Yes,56,Yes,yes,fiber optic,no,no,yes,no,yes,yes,one year,Yes,credit card (automatic),99.8,5515.45,No
2928-hldba,female,0,No,No,6,Yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,No,mailed check,20.7,112.75,No
0404-swrvg,male,0,No,No,3,Yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,Yes,electronic check,74.4,229.55,Yes
6497-tilvl,female,0,Yes,Yes,7,Yes,no,dsl,yes,no,no,no,no,no,month-to-month,No,mailed check,50.7,350.35,No
7219-tlzho,female,0,Yes,Yes,4,Yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,No,mailed check,20.85,62.9,No
4622-ynkij,male,0,No,No,33,Yes,no,fiber optic,yes,no,no,yes,yes,no,two year,Yes,electronic check,88.95,3027.65,No
4412-yltkf,female,1,No,No,27,Yes,yes,fiber optic,no,no,yes,no,no,no,month-to-month,Yes,electronic check,78.05,2135.5,Yes
6734-psbaw,male,0,Yes,No,72,Yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,Yes,bank transfer (automatic),23.55,1723.95,No
3930-zgwve,male,0,No,No,1,Yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,No,mailed check,19.75,19.75,No
2639-ugmaz,male,1,No,No,71,No,no phone service,dsl,yes,yes,no,no,yes,yes,one year,Yes,electronic check,56.45,3985.35,No
2876-gzyzc,female,0,No,No,13,Yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,Yes,electronic check,85.95,1215.65,No
6207-wiolx,female,0,Yes,Yes,25,No,no phone service,dsl,yes,yes,yes,no,yes,yes,month-to-month,Yes,credit card (automatic),58.6,1502.65,Yes
8587-xyzsf,male,0,No,No,67,Yes,no,dsl,no,no,no,yes,no,no,two year,No,bank transfer (automatic),50.55,3260.1,No
3091-fyhki,male,0,No,No,1,No,no phone service,dsl,no,no,no,no,no,yes,month-to-month,Yes,electronic check,35.45,35.45,Yes
2372-hwuhi,male,0,No,No,2,Yes,no,dsl,no,no,no,no,no,no,month-to-month,No,electronic check,44.35,81.25,Yes
7799-lgrdp,female,0,No,No,43,Yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,Yes,credit card (automatic),25.7,1188.2,No
7850-vwjuu,female,0,No,No,23,Yes,no,fiber optic,yes,no,no,no,no,no,month-to-month,Yes,bank transfer (automatic),75,1778.5,No
3774-vbnxy,female,0,Yes,Yes,64,Yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,No,mailed check,20.2,1277.75,No
6217-kdywc,male,0,No,Yes,57,Yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,Yes,mailed check,19.6,1170.55,No
0390-dcfdq,female,1,Yes,No,1,Yes,no,fiber optic,no,no,no,no,no,no,month-to-month,Yes,mailed check,70.45,70.45,Yes
3146-msegf,female,1,Yes,Yes,72,Yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,Yes,credit card (automatic),88.05,6425.65,No
4080-ogpjl,female,0,No,No,8,Yes,yes,dsl,yes,no,no,yes,no,yes,month-to-month,No,electronic check,71.15,563.65,Yes
1095-wgngg,female,0,Yes,No,61,Yes,yes,fiber optic,no,yes,no,no,yes,yes,two year,Yes,bank transfer (automatic),101.05,5971.25,No
2636-sjdou,male,0,No,No,64,Yes,yes,fiber optic,yes,yes,no,no,no,no,one year,Yes,credit card (automatic),84.3,5289.05,No
1131-qqzeb,male,1,Yes,No,71,Yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,No,bank transfer (automatic),23.95,1756.2,No
5716-ezxzn,female,0,Yes,Yes,65,Yes,yes,fiber optic,yes,yes,no,yes,yes,no,two year,Yes,credit card (automatic),99.05,6416.7,No
6837-bjydq,male,0,No,No,3,Yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,No,mailed check,19.6,61.35,No
2135-rxihg,male,0,No,No,1,Yes,no,dsl,no,no,no,no,no,no,month-to-month,Yes,electronic check,45.65,45.65,Yes
6440-dkqge,male,0,No,Yes,30,Yes,no,dsl,no,yes,yes,no,yes,no,one year,No,credit card (automatic),64.5,1929.95,No
3466-byavd,male,0,Yes,Yes,15,Yes,no,dsl,no,yes,yes,yes,no,yes,month-to-month,Yes,mailed check,69.5,1071.4,No
3780-yvmfa,female,0,Yes,Yes,8,Yes,no,dsl,no,no,no,yes,yes,yes,month-to-month,Yes,electronic check,68.55,564.35,No
3874-eqoep,male,0,No,No,7,Yes,yes,fiber optic,no,no,no,no,yes,yes,month-to-month,No,mailed check,95,655.5,Yes
1679-jrfbr,female,0,Yes,Yes,70,Yes,yes,fiber optic,yes,yes,yes,no,yes,yes,one year,Yes,credit card (automatic),108.15,7930.55,No
9073-zziay,male,0,Yes,Yes,62,Yes,no,dsl,yes,yes,yes,yes,yes,yes,two year,No,electronic check,86.1,5215.25,No
3077-rsntj,female,0,Yes,Yes,6,Yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,No,mailed check,19.7,113.5,No
6551-gnydg,female,0,Yes,Yes,14,Yes,no,fiber optic,no,no,no,no,no,yes,month-to-month,Yes,bank transfer (automatic),80.9,1152.8,No
9167-apmxz,female,0,No,No,22,Yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,Yes,bank transfer (automatic),84.15,1821.95,No
2749-ctkaj,male,0,Yes,Yes,22,Yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,No,mailed check,20.15,419.9,No
6371-nzyeg,male,0,Yes,Yes,16,Yes,no,dsl,yes,no,yes,no,yes,no,two year,No,mailed check,64.25,1024,No
7554-newdd,male,0,No,No,10,Yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,No,bank transfer (automatic),25.7,251.6,No
8992-vonjd,female,0,No,Yes,13,Yes,no,dsl,yes,yes,no,no,no,no,month-to-month,Yes,electronic check,56,764.55,No
0867-mkzvy,female,0,Yes,No,20,Yes,yes,fiber optic,yes,no,no,no,no,no,month-to-month,No,electronic check,82.4,1592.35,Yes
4482-ewfmi,female,0,No,No,2,Yes,no,fiber optic,no,no,no,no,no,no,month-to-month,Yes,electronic check,69.7,135.2,No
4648-ypbtm,male,0,No,No,53,Yes,yes,dsl,no,yes,yes,yes,no,yes,two year,Yes,bank transfer (automatic),73.9,3958.25,No
2907-iljbn,female,0,Yes,Yes,11,Yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,No,mailed check,20.6,233.9,No
6345-fzoqh,male,0,Yes,No,69,Yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,two year,No,mailed check,19.9,1363.45,No
3376-bmgfe,female,0,No,No,4,Yes,no,fiber optic,no,no,no,no,no,no,month-to-month,Yes,bank transfer (automatic),70.9,273,Yes
5997-opvfa,male,0,Yes,No,72,Yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,Yes,bank transfer (automatic),89.05,6254.45,No
3445-hxxgf,male,1,Yes,No,58,No,no phone service,dsl,no,yes,yes,no,no,yes,month-to-month,Yes,electronic check,45.3,2651.2,Yes
1159-wfsgr,female,0,Yes,Yes,16,Yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,No,electronic check,20.4,321.4,No
7654-ywjuf,male,0,Yes,No,43,Yes,no,fiber optic,yes,no,yes,yes,no,no,one year,Yes,bank transfer (automatic),84.25,3539.25,No
1875-qivme,female,0,Yes,No,2,Yes,yes,fiber optic,no,no,yes,yes,yes,yes,month-to-month,Yes,electronic check,104.4,242.8,Yes
6727-iotlz,male,0,Yes,No,14,Yes,no,dsl,no,yes,yes,yes,yes,yes,two year,No,mailed check,81.95,1181.75,No
0691-jvsya,female,0,Yes,No,53,Yes,no,fiber optic,no,no,yes,no,yes,yes,one year,Yes,bank transfer (automatic),94.85,5000.2,Yes
5918-vukwp,female,0,No,No,32,Yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,No,bank transfer (automatic),20.55,654.55,No
1744-jhkys,female,0,Yes,No,34,Yes,yes,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,month-to-month,No,electronic check,24.7,780.2,No
2656-fmokz,female,1,No,No,15,Yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,Yes,mailed check,74.45,1145.7,Yes
2070-fnexe,female,1,No,No,7,Yes,no,fiber optic,yes,no,no,no,no,no,month-to-month,No,bank transfer (automatic),76.45,503.6,Yes
5947-sgkcl,female,0,Yes,Yes,15,Yes,yes,fiber optic,no,yes,yes,no,yes,yes,month-to-month,Yes,bank transfer (automatic),105.35,1559.25,No
3712-pkxza,male,0,Yes,No,61,Yes,no,no,no internet service,no internet service,no internet service,no internet service,no internet service,no internet service,one year,Yes,credit card (automatic),20.55,1252,No
6317-ypkdh,female,0,No,No,1,No,no phone service,dsl,no,yes,no,no,no,no,month-to-month,No,bank transfer (automatic),29.95,29.95,Yes
6582-oivsp,female,0,No,No,1,Yes,no,dsl,no,no,no,no,no,no,month-to-month,No,mailed check,45.3,45.3,No
9367-wxlch,male,0,No,No,8,Yes,yes,fiber optic,no,no,no,no,no,yes,month-to-month,No,bank transfer (automatic),84.5,662.65,Yes
5524-khnjp,male,0,Yes,Yes,33,Yes,no,dsl,yes,no,yes,no,yes,yes,one year,No,credit card (automatic),74.75,2453.3,No
1918-zbfqj,female,0,No,No,13,Yes,no,fiber optic,no,yes,yes,no,no,no,month-to-month,Yes,electronic check,79.25,1111.65,Yes
